race,credit_score,zipcode,will_default
white,696,71202,False
black,537,71205,False
black,398,71205,True
black,436,71205,True
white,717,71203,True
white,642,71202,True
black,446,71204,True
asian,704,71203,False
white,760,71203,False
asian,406,71202,False
white,581,71202,True
asian,515,71200,False
hispanic,551,71206,False
white,741,71207,False
hispanic,554,71205,False
asian,628,71200,False
white,696,71202,True
white,807,71201,False
asian,655,71201,False
asian,687,71200,False
hispanic,587,71204,False
black,359,71205,True
white,620,71202,False
asian,782,71200,False
hispanic,577,71206,False
asian,713,71203,False
hispanic,553,71204,False
white,760,71206,False
black,552,71206,False
white,550,71203,True
white,733,71202,False
asian,743,71205,False
asian,547,71201,True
white,617,71200,True
hispanic,637,71206,True
black,601,71202,False
black,294,71204,True
hispanic,648,71205,False
black,410,71207,True
hispanic,356,71205,True
asian,610,71205,True
hispanic,350,71205,True
hispanic,543,71202,False
asian,646,71200,True
white,482,71203,True
asian,518,71201,False
hispanic,301,71205,True
asian,747,71204,True
hispanic,547,71204,True
black,521,71207,True
black,765,71205,False
asian,725,71200,False
asian,328,71200,True
hispanic,714,71200,False
white,734,71202,False
white,476,71205,True
white,628,71202,False
black,293,71207,False
asian,582,71201,True
black,873,71207,False
white,715,71203,False
hispanic,712,71204,False
black,489,71204,True
black,523,71206,True
white,841,71200,False
white,699,71203,False
asian,763,71200,False
black,602,71206,True
hispanic,762,71204,False
black,425,71206,True
asian,688,71200,True
white,521,71207,True
hispanic,372,71204,True
black,606,71206,False
white,811,71203,False
asian,668,71202,False
white,442,71205,True
white,713,71202,False
hispanic,510,71204,True
asian,712,71200,False
white,719,71205,True
white,462,71203,False
white,742,71201,False
asian,881,71201,True
asian,573,71201,True
asian,556,71202,False
asian,681,71207,False
black,574,71207,False
hispanic,587,71205,False
black,389,71206,True
asian,297,71200,True
black,817,71206,False
asian,742,71201,False
white,773,71202,False
black,647,71206,True
white,623,71204,False
black,385,71205,True
asian,496,71200,False
white,753,71204,True
black,422,71206,True
black,538,71207,False
white,604,71201,True
hispanic,590,71204,True
hispanic,690,71206,False
asian,701,71201,False
asian,508,71205,False
hispanic,347,71203,True
black,559,71202,False
black,460,71206,False
asian,562,71200,True
white,691,71202,False
asian,816,71201,False
white,472,71202,True
black,547,71207,True
black,521,71206,False
asian,598,71203,False
hispanic,658,71205,False
white,713,71201,False
white,637,71202,True
black,713,71206,False
asian,816,71203,False
black,412,71201,True
white,639,71202,False
asian,601,71207,True
black,542,71204,True
hispanic,636,71207,False
asian,521,71204,False
white,725,71200,False
hispanic,819,71205,False
hispanic,571,71204,True
asian,679,71202,False
black,514,71206,False
asian,824,71204,False
white,644,71202,False
white,604,71203,True
black,431,71206,False
black,352,71206,True
asian,638,71202,False
asian,662,71204,False
white,706,71205,False
asian,681,71206,False
white,677,71202,True
hispanic,522,71204,True
hispanic,548,71205,True
hispanic,595,71200,True
white,782,71203,False
asian,691,71202,False
asian,456,71202,True
white,551,71203,True
hispanic,475,71201,True
white,754,71206,False
black,666,71206,False
asian,529,71200,True
black,567,71206,False
hispanic,824,71205,False
white,713,71206,False
asian,369,71200,True
black,480,71205,True
white,708,71202,False
white,678,71202,True
hispanic,540,71204,True
hispanic,328,71200,False
black,451,71204,True
black,692,71204,True
asian,587,71200,False
black,421,71207,True
hispanic,499,71205,False
hispanic,383,71204,True
asian,873,71206,False
hispanic,598,71204,True
asian,587,71200,True
asian,583,71200,False
black,787,71205,False
black,525,71207,False
white,393,71201,True
black,603,71206,False
hispanic,722,71205,True
asian,651,71206,True
white,752,71204,False
asian,648,71206,False
white,660,71203,False
white,584,71202,False
white,535,71203,False
white,500,71202,True
black,492,71205,True
white,702,71203,False
hispanic,652,71204,False
hispanic,567,71204,True
hispanic,745,71205,False
white,822,71203,False
hispanic,661,71206,False
hispanic,664,71205,False
white,664,71203,True
white,612,71202,False
white,728,71202,False
asian,730,71204,False
asian,771,71200,False
asian,744,71200,False
white,863,71200,False
black,493,71201,True
white,636,71203,False
black,496,71204,True
white,591,71203,False
black,489,71204,True
white,636,71203,False
asian,645,71204,False
hispanic,310,71205,True
hispanic,588,71205,False
hispanic,488,71204,True
